Amphi,Position,Latitude,Longitude,Accuracy_m,Altitude_m
1,3,36.6883355,2.8666935,92.9,181.4
1,3,36.6883366,2.866696,77.6,181.4
1,3,36.6883364,2.8666956,301.5,181.4
1,3,36.6883636,2.8667508,82.5,174.9
1,3,36.6883557,2.8667259,92.9,181.4
1,3,36.6883906,2.8668081,98.4,175.2
1,3,36.6883683,2.8667646,32.7,181.3
1,3,36.6883658,2.8667601,32.7,181.3
1,3,36.6883645,2.8667577,32.7,181.3
1,3,36.6883641,2.8667567,32.7,182.8
1,3,36.6883638,2.8667559,32.7,181.4
1,3,36.6883638,2.866756,32.9,181.4
1,3,36.6883639,2.8667561,32.9,181.4
1,3,36.6883639,2.8667562,32.9,181.4
1,3,36.6883638,2.8667566,32.9,181.4
1,3,36.688364,2.8667569,33.1,181.4
1,3,36.6883641,2.8667572,33.2,181.4
1,3,36.6883643,2.8667573,33.3,181.4
2,1,36.6883451,2.8665082,14.4,176.8
2,1,36.6883397,2.8665044,18.6,176.8
2,1,36.6883399,2.8665028,16.8,176.8
2,1,36.6883403,2.8665028,15.5,176.8
2,1,36.6883457,2.8665118,12.6,177.1
2,1,36.6883469,2.8665096,11.1,176.8
2,1,36.6883446,2.8665047,10.6,176.8
2,1,36.6883439,2.8665013,9.6,177.1
2,1,36.6883438,2.8664986,9.9,177.1
2,1,36.6883434,2.8664979,10.0,177.3
2,1,36.6883442,2.8664989,10.1,177.3
2,1,36.6883451,2.8665006,10.4,177.3
2,1,36.6883458,2.8665024,10.5,176.8
2,1,36.6883438,2.8665055,10.2,176.8
2,1,36.6883426,2.866504,9.7,177.3
2,1,36.688342,2.8665011,7.6,177.4
2,1,36.6883382,2.866494,6.7,177.4
2,1,36.688336,2.8664897,6.7,177.3
2,1,36.6883351,2.8664846,6.8,177.1
2,1,36.6883355,2.8664808,6.7,177.1
2,1,36.6883363,2.8664839,6.9,177.1
2,1,36.6883366,2.8664849,6.7,177.1
2,1,36.6883362,2.8664851,7.0,177.1
2,1,36.6883383,2.866489,5.8,176.8
2,1,36.6883389,2.8664896,6.1,177.4
2,1,36.688341,2.8664898,5.4,177.1
2,1,36.6883417,2.8664924,4.8,176.8
2,1,36.6883415,2.8664923,4.8,176.8
2,1,36.6883415,2.8664923,4.8,177.1
2,1,36.6883418,2.8664926,4.7,177.1
2,1,36.6883418,2.8664927,4.6,177.1
2,1,36.6883416,2.8664927,4.6,176.8
2,1,36.6883416,2.8664928,4.5,177.1
2,1,36.6883417,2.8664947,4.4,177.1
2,1,36.6883396,2.8664943,4.6,176.8
2,1,36.6883392,2.8664942,5.5,177.3
2,1,36.6883404,2.866491,6.3,177.1
2,1,36.6883422,2.866493,6.2,177.1
2,1,36.6883427,2.8664932,6.4,177.4
2,1,36.6883433,2.8664933,6.5,177.4
2,1,36.6883434,2.866493,6.5,177.4
2,1,36.6883437,2.8664927,6.6,177.1
2,1,36.6883433,2.8664926,6.4,177.1
2,1,36.6883395,2.8664948,5.6,177.1
2,1,36.6883428,2.866492,6.1,177.1
2,1,36.6883434,2.8664921,6.2,177.4
2,1,36.6883435,2.866496,5.5,177.4
2,1,36.6883437,2.866495,5.5,177.1
2,1,36.6883423,2.8664939,5.8,176.8
2,1,36.688342,2.8664936,6.0,176.8
2,1,36.6883423,2.8664933,6.1,177.4
2,1,36.6883439,2.8664954,5.2,177.1
2,1,36.6883431,2.8664954,5.1,177.1
2,1,36.6883436,2.8664966,5.2,176.8
2,1,36.688344,2.8664976,6.2,177.1
2,1,36.688344,2.8665009,6.0,176.8
2,1,36.688345,2.8665015,6.4,176.8
2,1,36.6883439,2.8665007,6.6,176.8
2,1,36.6883438,2.8665005,6.8,176.8
2,1,36.6883434,2.8664998,6.8,177.1
2,1,36.6883435,2.8664998,7.3,177.1
2,1,36.6883448,2.8664991,6.5,177.1
2,2,36.6883434,2.8664984,4.7,177.3
2,2,36.6883433,2.8664987,4.6,177.1
2,2,36.6883429,2.8664986,4.4,176.8
2,2,36.6883425,2.8664938,5.1,177.3
2,2,36.6883408,2.8664939,5.2,177.1
2,2,36.6883393,2.8664938,6.0,177.1
2,2,36.6883391,2.8664931,6.0,177.1
2,2,36.6883397,2.866494,5.8,177.4
2,2,36.688341,2.8664947,5.8,177.1
2,2,36.6883414,2.8664945,5.8,176.8
2,2,36.6883416,2.8664936,5.9,177.3
2,2,36.6883426,2.8664953,5.8,176.8
2,2,36.6883424,2.8664946,5.8,176.8
2,2,36.6883426,2.8664947,5.2,176.8
2,2,36.6883428,2.8664952,5.2,176.8
2,2,36.6883431,2.8664948,5.4,177.3
2,2,36.6883436,2.8664948,4.8,177.4
2,2,36.6883432,2.8664949,4.4,177.1
2,2,36.6883432,2.8664967,4.3,177.1
2,2,36.6883431,2.8664966,4.2,176.8
2,2,36.6883433,2.8664965,4.2,177.4
2,2,36.6883433,2.8664958,4.0,177.1
2,2,36.6883429,2.8664959,3.9,177.1
2,2,36.6883428,2.8664958,3.9,177.1
2,2,36.6883427,2.866496,3.9,177.4
2,2,36.6883426,2.8664961,4.0,177.1
2,2,36.6883428,2.8664965,4.0,177.1
2,2,36.6883432,2.8664976,4.0,176.8
2,2,36.6883432,2.8664979,4.1,177.1
2,2,36.6883433,2.8664975,4.1,176.8
2,2,36.6883433,2.8664976,4.2,176.8
2,2,36.6883433,2.8664975,4.2,177.3
2,2,36.6883438,2.8664976,4.3,177.3
2,2,36.6883437,2.8664977,4.1,177.3
2,2,36.688344,2.8664986,4.0,177.3
2,2,36.6883431,2.8664984,4.1,177.3
2,2,36.6883431,2.8664982,4.6,177.3
2,2,36.688338,2.8664986,6.4,177.1
2,2,36.6883413,2.8665002,6.4,176.8
2,2,36.6883402,2.8665003,6.9,177.3
2,2,36.6883409,2.8664977,6.7,177.3
2,2,36.6883407,2.8664973,6.5,177.4
2,2,36.6883406,2.8664966,6.4,177.4
2,2,36.6883405,2.8664967,6.4,177.4
2,2,36.6883401,2.8664955,6.2,177.4
2,2,36.6883399,2.8664947,5.9,177.4
2,2,36.6883398,2.8664947,5.9,176.8
2,2,36.688339,2.8664935,5.7,176.8
2,2,36.6883389,2.8664931,5.6,176.8
2,2,36.6883389,2.866493,5.7,176.8
2,2,36.6883389,2.8664929,6.0,176.8
2,2,36.6883391,2.8664926,5.2,176.8
2,3,36.6883398,2.8664929,4.7,177.1
2,3,36.6883392,2.8664925,4.9,176.8
2,3,36.6883383,2.8664909,6.4,177.4
2,3,36.6883385,2.8664903,6.4,177.4
2,3,36.6883379,2.8664887,6.4,177.1
